target,base,pair,chain,blocknum,wbnb_reserve
0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x942b294e59a8c47a0F7F20DF105B082710F7C305,bsc,25543755,18012.68221532139
0xf859bf77cbe8699013d6dbc7c2b926aaf307f830,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x21dD71aB78EDE3033c976948f769D506E4F489eE,bsc,25543755,184.8844308834491
0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xA9986Fcbdb23c2E8B11AB40102990a08f8E58f06,bsc,25543755,104.54630380752613
0xe0e514c71282b6f4e823703a39374cf58dc3ea4f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xF3Bc6FC080ffCC30d93dF48BFA2aA14b869554bb,bsc,25543755,2882.9945974289444
0xac51066d7bec65dc4589368da368b212745d63e8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xcAD7019D6d84a3294b0494aEF02e73BD0f2572Eb,bsc,25543755,598.796771099073
0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x5aFEf8567414F29f0f927A0F2787b188624c10E2,bsc,25543755,319.0501601701038
0xca3f508b8e4dd382ee878a314789373d80a5190a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3f1A9f3D9aaD8bD339eD4853F345d2eF89fbfE0c,bsc,25543755,262.84369487534775
0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x678EDb8B268e73dB57b7694c163e1dc296b6e219,bsc,25543755,619.1968272587504
0xbcf39f0edda668c58371e519af37ca705f2bfcbd,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x6615CE60D71513aA4849269dD63821D324A23F8C,bsc,25543755,325.57840587630426
0xb86abcb37c3a4b64f74f59301aff131a1becc787,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x6A97867a4b7Eb7646ffB1F359ad582e9903aa1C2,bsc,25543755,119.3147251419612
0x9f589e3eabe42ebc94a44727b3f3531c0c877809,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xFFd4B200d3C77A0B691B5562D804b3bd54294e6e,bsc,25543755,425.711035887362
0x04c747b40be4d535fc83d09939fb0f626f32800b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd02DA76c813b9cd4516eD50442923E625f90228f,bsc,25543755,196.21452700715543
0xa7f552078dcc247c2684336020c03648500c6d9f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xddE420cbB3794ebD8FFC3Ac69F9c78e5d1411870,bsc,25543755,227.49215530042724
0x2222227e22102fe3322098e4cbfe18cfebd57c95,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xE6b421a4408c82381b226Ab5B6F8C4b639044359,bsc,25543755,351.6260020069483
0xc0eff7749b125444953ef89682201fb8c6a917cd,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xDc9a574b9B341D4a98cE29005b614e1E27430E74,bsc,25543755,639.377965659824
0x5621b5a3f4a8008c4ccdd1b942b121c8b1944f1f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xa7A0b605343dF36B748FF4B5f7578b3F2D0651CE,bsc,25543755,299.92375517381464
0x3ad9594151886ce8538c1ff615efa2385a8c3a88,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfA83874a1eCE9b9Ea6dcdA94ebD18aF2eDa0D15D,bsc,25543755,421.17934052687804
0x477bc8d23c634c154061869478bce96be6045d12,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x74fA517715C4ec65EF01d55ad5335f90dce7CC87,bsc,25543755,15341.828705641088
0x557dd6700e66818af340cce17fd4508ced81fbc1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x14617c3EaBC77601b7305f460bAfC4fc3829aBFC,bsc,25543755,115.94733826917897
0x27ae27110350b98d564b9a3eed31baebc82d878d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x02bFf262b10B7Ae1d2E4455ad4CAE2d0A6ECF086,bsc,25543755,813.0036257801512
0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfF3dD404aFbA451328de089424C74685bf0a43C9,bsc,25543755,4882.124798149923
0xfad8e46123d7b4e77496491769c167ff894d2acb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xa454ED3373a7e2242164208C2dAAE3e05Ed4dbB2,bsc,25543755,112.25496342288561
0x2a9718deff471f3bb91fa0eceab14154f150a385,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x7f1bb2D98aD5ba6Fae2a86acfc170cC2edfd57ec,bsc,25543755,985.081691127234
0xb27adaffb9fea1801459a1a81b17218288c097cc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0c5DA0f07962dd0256c079248633f2b43CaD6f62,bsc,25543755,1266.8317272277015
0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfff58a50Fdde55F5B5626BB66dE476F63155E078,bsc,25543755,240.8325827715985
0xf7844cb890f4c339c497aeab599abdc3c874b67a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2b7fC60FD13F32fEd8730113A14e3468d2f17CdC,bsc,25543755,135.0842560991104
0x7e52a123ed6db6ac872a875552935fbbd2544c86,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1b96e27a90fcdc7800ffDCdAb10a338a8DDd4C92,bsc,25543755,156.0997212399764
0x2fa5daf6fe0708fbd63b1a7d1592577284f52256,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x222F93187f15F354D41Ff6a7703eF7e18cdD5103,bsc,25543755,465.8240771315463
0x8f0528ce5ef7b51152a59745befdd91d97091d2f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1099C2E6Ed6ebA95099c205b599B409305783E43,bsc,25543755,130.0287734079432
0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xac109C8025F272414fd9e2faA805a583708A017f,bsc,25543755,6387.387778199338
0x22168882276e5d5e1da694343b41dd7726eeb288,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xE66783Ef2E2bC51958C032F04a37b6F060581fB9,bsc,25543755,118.6198571322084
